squareMeters,numberOfRooms,hasYard,hasPool,floors,cityCode,cityPartRange,numPrevOwners,made,isNewBuilt,hasStormProtector,basement,attic,garage,hasStorageRoom,hasGuestRoom,price
0.104,0.879,0.0,1.0,0.485,0.105,1.0,0.0,0.742,1.0,1.0,0.417,0.55,0.358,0.0,0.5,0.105
0.87,0.263,0.0,1.0,0.909,0.518,0.778,1.0,0.323,0.0,0.0,0.663,0.043,0.458,0.0,0.7,0.87
0.667,0.182,1.0,1.0,0.051,0.508,0.556,0.111,0.355,0.0,0.0,0.747,0.08,0.152,1.0,0.3,0.667
0.665,0.586,1.0,1.0,0.556,0.156,0.667,0.889,0.839,1.0,1.0,0.202,0.719,0.188,1.0,1.0,0.666
0.845,0.283,0.0,1.0,0.687,0.531,0.667,0.667,0.323,1.0,0.0,0.357,0.956,0.909,1.0,0.8,0.845
0.287,0.384,0.0,1.0,0.525,0.809,0.556,0.444,0.194,1.0,0.0,0.811,0.235,0.98,1.0,0.3,0.287
0.761,0.374,1.0,0.0,0.313,0.595,0.444,0.778,0.839,1.0,0.0,0.815,0.604,0.922,0.0,0.7,0.761
0.927,0.485,1.0,0.0,0.374,0.744,0.889,0.111,1.0,0.0,0.0,0.156,0.511,0.952,1.0,0.2,0.927
0.469,0.657,1.0,1.0,0.263,0.049,0.889,1.0,0.032,1.0,1.0,0.834,0.633,0.86,1.0,0.4,0.47
0.48,0.212,0.0,1.0,0.03,0.281,0.0,1.0,0.581,1.0,0.0,0.791,0.055,0.797,1.0,0.1,0.48
0.057,0.97,1.0,1.0,0.101,0.446,0.667,0.222,0.258,1.0,0.0,0.252,0.56,0.23,1.0,0.4,0.058
0.598,0.465,0.0,1.0,0.263,0.448,0.556,0.889,1.0,0.0,0.0,0.507,0.31,0.849,0.0,0.4,0.598
0.548,0.242,0.0,1.0,0.525,0.646,1.0,0.444,0.968,1.0,0.0,0.528,0.106,0.237,1.0,0.6,0.548
0.543,0.091,1.0,1.0,0.515,0.768,0.333,0.111,0.258,1.0,1.0,0.958,0.379,0.141,1.0,0.1,0.544
0.7,0.515,1.0,0.0,0.273,0.957,0.333,0.556,0.065,0.0,1.0,0.448,0.692,0.644,1.0,0.1,0.7
0.543,0.101,1.0,1.0,0.192,0.558,0.222,0.667,1.0,0.0,0.0,0.023,0.194,0.137,0.0,0.8,0.544
0.314,0.283,0.0,1.0,0.677,0.675,0.444,0.222,0.29,1.0,1.0,0.895,0.208,0.589,0.0,0.5,0.314
0.63,0.051,1.0,1.0,0.273,0.453,0.222,0.0,0.226,0.0,1.0,0.841,0.627,0.932,1.0,0.8,0.631
0.041,0.889,0.0,1.0,0.162,0.075,0.0,0.556,0.129,1.0,0.0,0.019,0.263,0.51,1.0,0.2,0.041
0.33,0.818,0.0,1.0,0.828,0.52,0.556,1.0,0.839,1.0,0.0,0.625,0.875,0.502,1.0,0.2,0.331
0.644,0.071,0.0,0.0,0.505,0.954,0.333,0.0,0.0,1.0,0.0,0.384,0.24,0.51,0.0,0.6,0.643
0.939,0.596,0.0,1.0,0.697,0.055,0.111,0.0,0.29,1.0,1.0,0.409,0.599,0.438,1.0,0.8,0.938
0.67,0.596,1.0,1.0,0.212,0.017,0.333,0.778,0.097,1.0,0.0,0.482,0.522,0.919,0.0,0.0,0.671
0.479,0.162,0.0,0.0,0.677,0.643,0.667,0.0,0.742,0.0,1.0,0.033,0.021,0.28,1.0,0.8,0.479
0.39,0.566,1.0,0.0,0.737,0.029,0.333,0.889,0.645,0.0,0.0,0.357,0.872,0.79,1.0,0.6,0.391
0.436,0.657,0.0,0.0,0.545,0.067,0.333,0.889,0.484,0.0,1.0,0.339,0.235,0.022,1.0,0.7,0.436
0.419,0.737,1.0,0.0,0.162,0.321,0.556,0.0,0.0,1.0,0.0,0.684,0.492,0.809,0.0,0.9,0.419
0.364,0.081,0.0,1.0,0.465,0.515,0.444,0.0,0.871,0.0,1.0,0.277,0.629,0.144,1.0,0.0,0.365
0.84,0.141,1.0,0.0,0.545,0.636,0.0,0.667,0.839,1.0,0.0,0.328,0.988,0.601,0.0,0.2,0.84
0.03,0.263,1.0,1.0,0.939,0.093,0.222,1.0,0.484,1.0,1.0,0.587,0.356,0.11,1.0,0.1,0.031
0.898,0.475,1.0,1.0,0.162,0.71,0.556,0.889,0.097,0.0,1.0,0.248,0.011,0.849,0.0,0.7,0.897
0.302,0.737,1.0,1.0,0.869,0.711,1.0,0.889,0.548,0.0,0.0,0.052,0.001,0.137,0.0,0.4,0.303
0.584,0.04,0.0,1.0,0.343,0.059,0.556,1.0,0.839,0.0,0.0,0.837,0.48,0.977,1.0,0.7,0.585
0.666,0.475,0.0,0.0,0.889,0.522,1.0,0.0,0.161,1.0,1.0,0.502,0.81,0.32,1.0,0.4,0.666
0.733,0.424,0.0,1.0,0.374,0.499,1.0,0.0,0.903,0.0,1.0,0.328,0.502,0.964,0.0,0.8,0.733
0.599,0.273,0.0,1.0,0.172,0.321,0.889,0.778,1.0,1.0,1.0,0.838,0.723,0.14,1.0,0.4,0.599
0.716,0.192,1.0,0.0,0.576,0.469,0.667,0.333,0.258,0.0,0.0,0.649,0.331,0.296,0.0,0.0,0.716
0.925,0.515,1.0,1.0,0.455,0.224,0.889,0.556,0.935,1.0,0.0,0.958,0.859,0.641,0.0,0.8,0.925
0.523,0.596,1.0,1.0,0.232,0.768,0.556,0.444,0.065,1.0,0.0,0.899,0.315,0.787,1.0,0.4,0.523
0.673,0.667,0.0,0.0,0.091,0.456,0.222,0.222,0.0,1.0,1.0,0.693,0.781,0.749,1.0,0.5,0.672
0.45,0.99,0.0,1.0,0.869,0.203,0.333,0.778,0.742,1.0,0.0,0.522,0.822,0.049,0.0,0.3,0.45
0.615,0.727,1.0,0.0,0.97,0.23,0.889,0.444,0.355,0.0,0.0,0.926,0.897,0.728,1.0,0.6,0.615
0.841,0.495,0.0,1.0,0.717,0.227,0.667,0.444,0.097,0.0,0.0,0.267,0.467,0.74,0.0,0.8,0.841
0.776,0.687,1.0,1.0,0.97,0.888,0.556,0.0,0.29,1.0,0.0,0.485,0.565,0.049,1.0,0.8,0.776
0.251,0.303,1.0,1.0,0.364,0.876,0.333,1.0,0.968,1.0,0.0,0.656,0.429,0.018,0.0,0.6,0.252
0.42,0.455,0.0,1.0,0.616,0.433,0.556,0.222,0.871,1.0,1.0,0.883,0.185,0.844,1.0,0.3,0.42
0.384,0.424,0.0,1.0,0.505,0.034,0.556,0.333,1.0,0.0,1.0,0.121,0.061,0.21,0.0,0.8,0.384
0.07,0.03,0.0,0.0,0.889,0.553,0.889,0.111,0.613,1.0,1.0,0.75,0.897,0.437,1.0,0.3,0.07
0.347,0.747,0.0,1.0,0.081,0.673,0.333,0.444,0.935,0.0,1.0,0.303,0.647,0.778,1.0,0.4,0.347
0.127,1.0,1.0,0.0,0.061,0.196,0.667,0.778,0.968,1.0,1.0,0.68,0.998,0.709,0.0,0.5,0.127
0.337,0.737,0.0,1.0,0.374,0.74,1.0,0.667,0.29,1.0,1.0,0.173,0.795,0.573,1.0,0.2,0.337
0.005,0.364,1.0,0.0,0.424,0.728,0.333,0.667,0.677,1.0,0.0,0.674,0.56,0.851,0.0,0.1,0.005
0.072,0.606,1.0,0.0,0.828,0.264,0.333,0.667,0.129,1.0,0.0,0.778,0.252,0.984,0.0,0.4,0.072
0.349,0.192,1.0,1.0,0.838,0.601,0.444,0.0,0.226,0.0,0.0,0.657,0.063,0.342,0.0,0.2,0.349
0.255,0.283,0.0,0.0,0.263,0.53,0.333,0.0,0.129,1.0,0.0,0.07,0.038,0.466,1.0,0.9,0.255
0.514,0.636,0.0,0.0,0.222,0.798,1.0,0.111,0.71,1.0,1.0,0.208,0.957,0.726,0.0,0.7,0.514
0.789,0.545,0.0,1.0,0.758,0.234,0.778,0.333,0.806,1.0,1.0,0.713,0.501,0.971,1.0,0.0,0.789
0.707,0.636,1.0,1.0,0.404,0.923,0.0,0.889,0.516,1.0,0.0,0.151,0.059,0.771,1.0,0.7,0.708
0.819,0.596,0.0,1.0,1.0,0.581,0.222,0.778,0.968,0.0,0.0,0.363,0.596,0.692,1.0,0.3,0.819
0.916,0.354,0.0,1.0,0.202,0.826,0.556,0.111,0.548,0.0,1.0,0.079,0.479,0.036,1.0,0.8,0.915
0.721,0.081,0.0,1.0,0.667,0.912,0.111,0.222,0.774,1.0,0.0,0.908,0.936,0.711,1.0,0.9,0.721
0.231,0.182,0.0,0.0,0.515,0.694,0.333,0.0,0.419,0.0,0.0,0.271,0.459,0.609,1.0,0.6,0.231
0.395,0.919,0.0,0.0,0.848,0.512,0.333,0.556,0.935,0.0,1.0,0.762,0.117,0.789,1.0,0.9,0.394
0.552,0.222,0.0,0.0,0.071,0.008,0.778,0.222,0.032,0.0,0.0,0.149,0.57,0.583,0.0,0.6,0.552
0.537,0.485,0.0,1.0,0.919,0.024,0.333,0.667,0.516,0.0,0.0,0.865,0.959,0.211,1.0,0.8,0.538
0.677,0.717,1.0,1.0,0.778,0.317,0.222,0.889,0.161,1.0,1.0,0.748,0.207,0.921,0.0,0.6,0.678
0.014,0.586,0.0,0.0,0.0,0.023,1.0,0.889,0.903,1.0,1.0,0.128,0.812,0.854,1.0,1.0,0.014
0.821,0.929,1.0,1.0,0.606,0.742,0.222,0.667,0.935,1.0,1.0,0.878,0.66,0.964,1.0,0.4,0.822
0.178,0.727,1.0,0.0,0.343,0.487,0.333,0.889,0.742,0.0,0.0,0.172,0.55,0.678,1.0,0.2,0.178
0.714,0.707,0.0,0.0,0.929,0.682,0.222,1.0,0.161,1.0,1.0,0.348,0.553,0.269,0.0,0.2,0.714
0.326,0.343,0.0,1.0,0.131,0.802,1.0,0.556,0.419,1.0,0.0,0.463,0.755,0.029,0.0,0.8,0.326
0.238,0.707,1.0,1.0,0.242,0.321,0.222,0.667,0.645,1.0,1.0,0.759,0.522,0.516,1.0,0.1,0.238
0.164,0.939,0.0,0.0,0.051,0.905,0.222,1.0,0.032,1.0,1.0,0.221,0.146,0.921,1.0,0.7,0.164
0.391,0.232,1.0,0.0,0.667,0.745,0.333,0.222,0.387,1.0,0.0,0.164,0.292,0.043,0.0,0.9,0.391
0.651,0.808,1.0,1.0,0.02,0.662,0.667,0.889,0.032,0.0,0.0,0.322,0.912,0.832,0.0,0.4,0.651
0.615,0.909,1.0,0.0,0.939,0.871,0.778,0.778,0.742,1.0,0.0,0.549,0.364,0.74,0.0,0.3,0.615
0.571,0.141,1.0,1.0,0.424,0.408,0.778,0.778,0.387,0.0,0.0,0.402,0.487,0.818,1.0,0.2,0.572
0.133,0.566,0.0,0.0,0.566,0.3,0.556,0.778,1.0,1.0,1.0,0.252,0.054,0.788,0.0,0.8,0.133
0.273,0.768,0.0,0.0,0.354,0.985,0.333,0.0,0.226,1.0,1.0,0.115,0.31,0.791,1.0,0.0,0.273
0.184,0.495,0.0,1.0,0.596,0.897,0.444,0.111,0.968,0.0,0.0,0.248,0.138,0.52,0.0,0.5,0.184
0.454,0.283,1.0,0.0,0.657,0.212,0.222,0.444,0.452,0.0,1.0,0.812,0.3,0.837,0.0,0.6,0.454
0.559,0.141,0.0,0.0,0.97,0.058,0.889,0.778,0.355,1.0,1.0,0.737,0.674,0.651,1.0,0.6,0.559
0.819,0.677,0.0,0.0,0.919,0.061,0.222,0.0,0.677,1.0,0.0,0.639,0.908,0.704,0.0,0.0,0.819
0.182,0.697,1.0,0.0,0.737,0.251,0.889,0.556,0.677,0.0,0.0,0.717,0.914,0.442,1.0,0.9,0.182
0.356,0.535,1.0,0.0,0.061,0.774,1.0,0.556,0.903,1.0,1.0,0.022,0.134,0.75,1.0,1.0,0.356
0.997,0.111,1.0,0.0,0.768,0.183,0.444,0.778,0.387,0.0,1.0,0.403,0.288,0.763,1.0,0.6,0.997
0.476,0.434,0.0,0.0,0.768,0.981,0.556,0.222,0.645,1.0,1.0,0.266,0.543,0.352,0.0,0.6,0.476
0.629,0.444,0.0,1.0,0.061,0.912,0.333,0.222,0.097,1.0,0.0,0.029,0.074,0.639,0.0,0.4,0.629
0.184,0.192,1.0,1.0,0.727,0.094,0.222,0.0,0.323,1.0,0.0,0.409,0.924,0.894,1.0,0.6,0.184
0.36,0.626,1.0,0.0,0.465,0.747,0.889,0.778,0.355,0.0,1.0,0.97,0.132,0.46,0.0,0.4,0.36
0.227,0.838,0.0,0.0,0.04,0.824,0.889,0.889,0.097,0.0,1.0,0.242,0.192,0.493,1.0,0.7,0.227
0.148,0.808,1.0,0.0,0.0,0.176,0.0,1.0,0.065,1.0,0.0,0.615,0.165,0.159,0.0,0.9,0.148
0.439,0.394,1.0,0.0,0.687,0.056,1.0,0.444,0.71,0.0,1.0,0.747,0.656,0.706,1.0,0.6,0.439
0.73,0.333,1.0,1.0,0.374,0.448,0.333,0.778,0.839,0.0,0.0,0.982,0.717,0.698,1.0,0.0,0.731
0.843,0.758,0.0,0.0,0.384,0.557,0.444,0.0,0.258,0.0,0.0,0.45,0.488,0.422,0.0,0.6,0.843
0.095,0.657,1.0,0.0,0.909,0.826,0.889,0.444,0.032,0.0,1.0,0.107,0.382,0.919,0.0,1.0,0.096
0.113,0.96,0.0,1.0,0.96,0.855,0.778,0.222,0.935,0.0,1.0,0.147,0.364,0.926,1.0,0.1,0.114
0.298,0.626,0.0,0.0,0.222,0.781,0.444,0.444,0.323,0.0,1.0,0.386,0.749,0.116,0.0,0.6,0.298
0.467,0.939,0.0,0.0,0.576,0.253,0.778,0.444,0.581,0.0,1.0,0.136,0.685,0.343,0.0,0.3,0.467
0.77,0.687,1.0,0.0,0.848,0.435,0.333,0.111,0.065,0.0,1.0,0.814,0.14,0.609,0.0,0.3,0.771
0.588,0.0,0.0,0.0,0.657,0.201,0.222,0.667,0.452,0.0,1.0,0.227,0.307,0.479,0.0,0.3,0.588
0.691,0.657,1.0,0.0,0.737,0.514,0.333,0.333,0.613,1.0,1.0,0.154,0.974,0.932,1.0,0.9,0.692
0.579,0.242,0.0,1.0,0.838,0.876,1.0,0.333,0.548,1.0,1.0,0.339,0.429,0.6,0.0,0.5,0.579
0.662,0.465,1.0,0.0,0.081,0.219,0.222,0.111,0.419,0.0,1.0,0.508,0.316,0.031,0.0,1.0,0.662
0.16,0.202,1.0,0.0,0.121,0.217,0.778,0.778,0.032,1.0,1.0,0.889,0.256,0.403,0.0,0.2,0.16
0.743,0.495,1.0,1.0,0.576,0.92,0.778,1.0,0.129,0.0,1.0,0.401,0.195,0.194,0.0,0.5,0.744
0.357,0.455,1.0,1.0,0.465,0.842,0.667,0.0,0.774,1.0,1.0,0.173,0.602,0.159,0.0,0.7,0.357
0.089,0.505,1.0,0.0,0.273,0.859,0.0,0.444,0.323,1.0,0.0,0.078,0.904,0.424,0.0,1.0,0.089
0.168,0.182,0.0,1.0,0.131,0.473,0.111,0.333,0.968,0.0,1.0,0.571,0.091,0.224,1.0,0.7,0.168
0.999,0.818,0.0,0.0,0.636,0.828,0.222,0.778,0.613,0.0,1.0,0.483,0.263,0.909,0.0,0.7,0.998
0.337,0.556,1.0,1.0,0.283,0.22,1.0,0.778,0.516,0.0,1.0,0.733,0.301,0.272,0.0,0.6,0.337
0.728,0.212,1.0,1.0,0.293,0.612,0.889,0.222,0.548,0.0,0.0,0.221,0.212,0.597,0.0,0.7,0.728
0.865,0.202,0.0,0.0,0.859,0.425,0.222,0.667,0.065,1.0,0.0,0.784,0.535,0.403,0.0,0.0,0.865
0.389,0.343,0.0,1.0,0.768,0.029,0.111,0.556,0.742,1.0,1.0,0.131,0.127,0.771,0.0,0.1,0.389
0.247,0.212,0.0,1.0,0.616,0.504,1.0,1.0,0.29,1.0,1.0,0.526,0.399,0.447,1.0,0.1,0.247
0.91,0.444,0.0,0.0,0.646,0.411,0.778,0.111,0.29,0.0,0.0,0.724,0.106,0.73,1.0,0.1,0.91
0.555,0.636,0.0,1.0,0.434,0.62,0.333,0.111,0.484,0.0,1.0,0.938,0.951,0.762,1.0,0.9,0.555
0.706,0.162,1.0,1.0,0.788,0.0,0.667,0.222,0.871,1.0,0.0,0.493,0.128,0.108,0.0,0.5,0.706
0.673,0.465,0.0,0.0,0.869,0.267,0.889,0.222,0.0,0.0,1.0,0.11,0.855,0.96,0.0,1.0,0.673
0.06,0.899,0.0,1.0,0.283,0.96,0.0,0.111,0.71,1.0,1.0,0.642,0.793,0.829,0.0,1.0,0.061
0.718,0.364,0.0,1.0,0.505,0.582,0.111,0.444,0.742,0.0,0.0,0.377,0.204,0.533,1.0,0.6,0.718
0.207,0.98,1.0,1.0,0.707,0.916,0.0,0.333,0.161,0.0,1.0,0.011,0.005,0.54,0.0,0.3,0.208
0.076,0.98,0.0,0.0,0.626,0.06,0.111,0.222,0.29,1.0,0.0,0.214,0.775,0.981,1.0,0.7,0.076
0.166,0.949,1.0,1.0,0.808,0.16,0.333,0.222,0.548,0.0,1.0,0.611,0.141,0.154,1.0,0.1,0.167
0.84,0.727,1.0,1.0,0.97,0.543,0.333,0.667,0.323,1.0,0.0,0.97,0.631,0.819,0.0,0.4,0.84
0.34,0.485,0.0,0.0,0.899,0.635,0.333,0.778,0.097,0.0,1.0,0.414,0.534,0.274,0.0,0.2,0.34
0.361,0.949,0.0,0.0,0.879,0.724,0.778,0.778,0.032,1.0,0.0,0.105,0.846,0.257,0.0,0.8,0.361
0.081,0.172,1.0,1.0,0.657,0.389,0.667,0.111,0.548,0.0,0.0,0.495,0.581,0.094,1.0,0.6,0.082
0.383,0.838,0.0,0.0,0.212,0.445,0.556,0.778,0.129,1.0,0.0,0.162,0.946,0.338,0.0,0.8,0.383
0.388,0.091,0.0,0.0,0.131,0.281,0.333,0.222,0.774,1.0,1.0,0.183,0.763,0.402,1.0,0.8,0.388
0.414,0.212,0.0,0.0,0.586,0.02,0.889,0.0,0.742,0.0,1.0,0.209,0.444,0.611,0.0,0.3,0.414
0.051,0.01,0.0,0.0,0.141,0.713,0.667,0.222,0.484,0.0,0.0,0.834,0.47,0.713,0.0,0.0,0.051
0.45,0.273,0.0,0.0,0.616,0.859,0.889,0.444,0.742,0.0,0.0,0.709,0.676,0.916,1.0,0.0,0.45
0.638,0.525,1.0,1.0,0.131,0.544,0.667,0.222,0.29,1.0,0.0,0.414,0.718,0.058,0.0,0.6,0.639
0.25,0.879,0.0,0.0,0.939,0.011,0.778,0.556,0.968,0.0,1.0,0.072,0.635,0.67,0.0,1.0,0.251
0.514,0.636,0.0,1.0,0.313,0.683,0.222,1.0,0.839,0.0,0.0,0.302,0.189,0.592,1.0,0.4,0.514
0.844,0.636,0.0,0.0,0.96,0.885,0.556,0.667,0.806,1.0,1.0,0.742,0.619,0.548,1.0,0.2,0.844
0.649,0.98,0.0,1.0,0.626,0.012,0.778,0.778,0.839,1.0,0.0,0.229,0.818,0.362,1.0,0.6,0.649
0.091,0.03,1.0,0.0,0.152,0.266,0.333,0.0,0.806,1.0,1.0,0.684,0.944,0.824,1.0,0.8,0.091
0.855,0.475,1.0,0.0,0.828,0.553,0.111,0.889,0.871,0.0,1.0,0.8,0.065,0.304,1.0,0.0,0.856
0.873,0.747,1.0,0.0,0.808,0.577,0.556,1.0,0.935,0.0,0.0,0.69,0.163,0.629,1.0,0.4,0.872
0.961,1.0,0.0,1.0,0.232,0.999,1.0,0.222,0.29,0.0,0.0,0.655,0.409,0.303,0.0,0.6,0.961
0.379,0.98,1.0,0.0,0.051,0.492,0.778,1.0,0.581,0.0,0.0,0.998,0.65,0.032,0.0,0.2,0.379
0.831,0.97,0.0,1.0,0.677,0.94,0.556,0.556,0.806,0.0,1.0,0.002,0.458,0.423,0.0,0.1,0.831
0.204,1.0,1.0,0.0,0.333,0.64,0.556,0.333,0.419,0.0,1.0,0.966,0.623,0.78,0.0,0.0,0.204
0.751,0.909,1.0,0.0,0.364,0.619,0.222,0.222,0.903,1.0,0.0,0.472,0.568,0.347,0.0,0.2,0.751
0.326,0.081,1.0,1.0,0.172,0.862,0.556,0.444,0.742,0.0,1.0,0.909,0.697,0.331,1.0,0.7,0.326
0.458,0.717,1.0,1.0,0.687,0.331,0.444,0.667,0.129,1.0,1.0,0.767,0.991,0.129,0.0,1.0,0.459
0.739,0.687,0.0,1.0,0.354,0.575,0.333,0.222,0.903,0.0,0.0,0.985,0.623,0.044,1.0,0.4,0.739
0.159,0.404,1.0,1.0,0.242,0.869,0.889,0.333,0.548,0.0,1.0,0.723,0.076,0.042,0.0,0.6,0.16
0.013,0.586,0.0,1.0,0.293,0.217,0.778,0.333,0.097,1.0,1.0,0.39,0.198,0.866,0.0,0.8,0.014
0.299,0.364,1.0,1.0,0.121,0.566,0.556,0.778,0.161,1.0,1.0,0.569,0.958,0.736,0.0,0.0,0.299
0.402,0.838,0.0,1.0,0.404,0.645,0.333,0.444,0.29,0.0,0.0,0.57,0.03,0.731,1.0,0.0,0.402
0.595,0.374,1.0,0.0,0.687,0.94,0.778,0.778,0.419,1.0,0.0,0.683,0.274,0.697,1.0,0.6,0.595
0.99,0.253,1.0,0.0,0.687,0.37,1.0,0.778,0.419,0.0,0.0,0.374,0.581,0.991,1.0,0.5,0.99
0.992,0.485,0.0,0.0,0.404,0.051,0.556,1.0,1.0,1.0,1.0,0.633,0.674,0.366,1.0,0.3,0.991
0.891,0.455,0.0,0.0,0.414,0.345,0.222,0.556,0.613,0.0,1.0,0.351,0.078,0.211,1.0,0.4,0.891
0.674,0.596,0.0,1.0,0.232,0.899,0.778,0.667,0.032,1.0,0.0,0.358,0.36,0.842,1.0,0.1,0.674
0.384,0.566,1.0,0.0,0.596,0.692,0.889,0.222,0.968,1.0,0.0,0.412,0.331,0.304,0.0,0.8,0.384
0.725,0.758,1.0,1.0,0.586,0.087,0.778,1.0,0.129,1.0,0.0,0.341,0.224,0.171,1.0,0.0,0.725
0.853,0.768,1.0,0.0,0.182,0.406,0.556,0.444,0.226,0.0,0.0,0.773,0.852,0.096,1.0,0.4,0.853
0.285,0.929,0.0,0.0,0.465,0.162,0.222,0.889,0.0,0.0,0.0,0.449,0.027,0.682,0.0,0.8,0.285
0.136,0.354,1.0,1.0,0.929,0.024,0.222,0.444,0.355,1.0,1.0,0.415,0.638,0.544,0.0,0.5,0.137
0.504,0.02,0.0,1.0,0.727,0.4,0.444,0.889,0.968,0.0,0.0,0.415,0.678,0.098,0.0,0.5,0.505
0.981,0.374,0.0,1.0,0.566,0.203,0.667,0.333,0.161,0.0,1.0,0.603,0.869,0.194,0.0,0.2,0.981
