aluminium,ammonia,arsenic,barium,cadmium,chloramine,chromium,copper,flouride,bacteria,viruses,lead,nitrates,nitrites,mercury,perchlorate,radium,selenium,silver,uranium,is_safe
0.372,0.646,0.019,0.563,0.062,0.006,0.467,0.5,0.06,0.91,0.91,0.515,0.22,0.666,0.6,0.369,0.247,0.3,0.12,0.556,1.0
0.976,0.804,0.038,0.617,0.062,0.081,0.567,0.675,0.713,0.7,0.7,0.505,0.058,0.379,0.8,0.447,0.698,0.9,0.76,0.333,1.0
0.572,0.632,0.048,0.763,0.062,0.69,0.6,0.395,0.36,0.2,0.009,0.63,0.886,0.621,0.9,0.292,0.542,1.0,0.1,0.222,1.0
0.121,0.083,0.029,0.119,0.015,0.224,0.856,0.77,0.413,0.23,0.001,0.085,0.1,0.369,0.7,0.186,0.123,0.1,0.94,0.333,1.0
0.687,0.532,0.019,0.012,0.008,0.609,0.522,0.54,0.953,0.89,0.89,0.4,0.096,0.41,0.8,0.003,0.862,0.6,0.24,0.889,1.0
0.418,0.572,0.019,0.178,0.069,0.896,0.978,0.575,0.227,0.85,0.85,0.325,0.901,0.522,0.3,0.323,0.143,1.0,0.8,0.111,1.0
0.966,0.903,0.019,0.073,0.008,0.139,0.756,0.355,0.66,0.75,0.75,0.355,0.016,0.416,0.2,0.945,0.125,0.0,0.82,0.556,0.0
0.816,0.604,0.019,0.694,0.046,0.001,0.456,0.91,0.147,0.99,0.99,0.54,0.406,0.601,0.5,0.405,0.11,1.0,0.2,0.778,1.0
0.135,0.637,0.001,0.008,0.046,0.526,0.222,0.59,0.667,0.92,0.92,0.43,0.477,0.481,0.7,0.363,0.382,0.3,0.26,0.889,1.0
0.228,0.274,0.019,0.196,0.054,0.4,0.722,0.755,0.973,0.58,0.58,0.305,0.452,0.512,0.4,0.243,0.218,0.3,0.02,0.667,1.0
0.053,0.359,0.019,0.111,0.008,0.431,0.133,0.885,0.287,0.8,0.8,0.57,0.64,0.403,0.8,0.577,0.113,0.2,0.32,0.667,1.0
0.855,0.693,0.029,0.526,0.062,0.834,0.678,0.615,0.96,0.56,0.56,0.06,0.475,0.594,0.4,0.604,0.403,0.7,0.36,0.889,0.0
0.467,0.907,0.01,0.138,0.023,0.469,0.144,0.67,0.193,0.96,0.96,0.835,0.759,0.655,0.2,0.939,1.0,0.6,1.0,0.667,0.0
0.655,0.74,0.029,0.093,0.008,0.832,0.811,0.525,0.667,0.25,0.007,0.545,0.097,0.365,0.1,0.657,0.061,0.4,0.94,0.556,1.0
0.36,0.23,0.01,0.172,0.046,0.294,0.278,0.545,0.9,0.16,0.002,0.155,0.857,0.58,0.7,0.746,0.144,0.8,0.52,0.889,1.0
0.677,0.083,0.001,0.567,0.023,0.331,0.811,0.135,0.353,0.44,0.002,0.55,0.692,0.577,0.9,0.921,0.412,0.4,0.34,0.0,0.0
0.873,0.509,0.029,0.356,0.054,0.764,0.689,0.785,0.173,0.69,0.69,0.91,0.075,0.618,0.8,0.415,0.299,0.1,0.4,0.556,1.0
0.905,0.866,0.01,0.615,0.015,0.32,0.8,0.23,0.94,0.08,0.006,0.245,0.486,0.488,0.6,0.609,0.569,0.3,0.38,0.0,0.0
0.335,0.765,0.001,0.407,0.015,0.676,0.867,0.765,0.58,0.13,0.008,0.395,0.436,0.406,0.7,0.41,0.972,0.6,0.22,0.556,1.0
0.37,0.207,0.048,0.757,0.062,0.329,0.578,0.515,0.34,0.77,0.77,0.06,0.056,0.529,0.8,0.339,0.277,0.2,0.96,0.444,1.0
0.537,0.878,0.038,0.611,0.046,0.461,0.189,0.78,0.607,0.38,0.005,0.065,0.555,0.341,0.6,0.236,0.771,0.5,0.1,0.889,1.0
0.323,0.529,0.029,0.514,0.062,0.49,0.822,0.675,0.827,0.12,0.006,0.965,0.872,0.433,0.1,0.969,0.214,0.9,0.88,0.556,0.0
0.002,0.982,0.001,0.593,0.054,0.893,0.756,0.545,0.0,0.8,0.8,0.455,0.874,0.635,0.1,0.718,0.471,0.9,0.6,0.0,0.0
0.889,0.139,0.048,0.379,0.038,0.524,0.356,0.45,0.367,0.3,0.002,0.675,0.264,0.488,0.4,0.609,0.77,0.4,0.32,0.444,1.0
0.697,0.778,0.029,0.545,0.046,0.569,0.844,0.925,0.827,0.75,0.75,0.62,0.096,0.341,0.8,0.414,0.399,0.8,0.74,0.667,1.0
0.861,0.9,0.019,0.178,0.031,0.074,0.678,0.455,0.28,0.44,0.006,0.535,0.668,0.406,0.9,0.012,0.063,0.4,0.7,0.0,1.0
0.497,0.44,0.038,0.32,0.015,0.329,0.967,0.94,0.267,0.13,0.004,0.425,0.603,0.461,0.8,0.772,0.588,1.0,0.08,0.556,0.0
0.463,0.668,0.029,0.54,0.046,0.495,0.289,0.04,0.227,0.26,0.003,0.73,0.401,0.532,0.6,0.856,0.302,0.9,0.24,0.556,0.0
0.339,0.32,0.048,0.735,0.046,0.258,1.0,0.11,0.453,0.63,0.63,0.81,0.575,0.625,0.5,0.711,0.768,0.9,0.88,0.667,0.0
0.683,0.749,0.01,0.111,0.031,0.276,0.4,0.145,0.34,0.86,0.86,0.24,0.09,0.573,0.5,0.725,0.682,0.7,0.08,0.778,0.0
0.667,0.038,0.038,0.377,0.023,0.334,0.933,0.96,0.8,0.32,0.003,0.41,0.954,0.59,0.8,0.393,0.046,0.2,0.92,0.889,1.0
0.62,0.945,0.001,0.051,0.008,0.412,0.756,0.645,0.693,0.49,0.001,0.395,0.759,0.372,0.5,0.395,0.424,0.1,0.4,0.333,0.0
0.057,0.462,0.019,0.105,0.054,0.344,0.122,0.57,0.24,0.13,0.008,0.355,0.943,0.427,0.4,0.655,0.273,0.4,0.02,0.222,0.0
0.299,0.007,0.019,0.012,0.023,0.658,0.978,0.855,0.947,0.27,0.002,0.515,0.815,0.427,0.6,0.287,0.288,0.7,0.0,0.0,1.0
0.216,0.967,0.01,0.437,0.008,0.145,0.944,0.795,0.693,0.08,0.007,0.705,0.327,0.488,0.6,0.744,0.334,0.5,0.7,0.889,0.0
0.186,0.365,0.01,0.798,0.062,0.62,0.8,0.15,0.347,0.38,0.002,0.655,0.414,0.437,0.5,0.73,0.534,0.6,0.5,0.556,0.0
0.531,0.304,0.038,0.806,0.015,0.025,0.1,0.27,0.093,0.27,0.004,0.345,0.425,0.628,0.7,0.363,0.364,0.8,0.86,1.0,1.0
0.059,0.017,0.001,0.506,0.054,0.704,0.389,0.895,0.593,0.67,0.67,0.68,0.72,0.59,0.6,0.283,0.516,0.9,0.84,0.111,1.0
0.046,0.777,0.001,0.709,0.015,0.078,0.522,0.27,0.887,0.05,0.001,0.83,0.584,0.41,0.6,0.467,0.115,0.7,0.06,0.889,1.0
0.505,0.698,0.038,0.567,0.031,0.887,0.911,0.22,0.8,0.77,0.77,0.56,0.509,0.457,0.1,0.183,0.191,0.1,0.54,0.667,1.0
0.17,0.626,0.038,0.265,0.023,0.63,0.044,0.985,0.393,0.18,0.007,0.845,0.254,0.628,0.4,0.641,0.891,0.7,0.56,0.111,0.0
0.855,0.342,0.038,0.401,0.008,0.918,0.356,0.99,0.44,0.06,0.008,0.505,0.364,0.577,0.9,0.087,0.705,0.4,0.24,0.111,1.0
0.048,0.291,0.038,0.217,0.062,0.713,0.544,0.325,0.6,0.58,0.58,0.465,0.512,0.413,0.3,0.17,0.726,0.5,0.48,0.556,1.0
0.719,0.121,0.029,0.565,0.054,0.47,0.9,0.615,0.5,0.79,0.79,0.125,0.803,0.638,0.2,0.642,0.899,0.7,0.9,0.333,0.0
0.646,0.713,0.048,0.781,0.062,0.287,0.567,0.53,0.067,0.84,0.84,0.695,0.801,0.427,0.1,0.933,0.61,0.8,0.04,0.778,0.0
0.083,0.11,0.01,0.132,0.062,0.104,0.922,0.54,0.1,0.23,0.007,0.92,0.135,0.413,0.1,0.232,0.608,0.0,0.42,0.556,1.0
0.152,0.417,0.048,0.698,0.046,0.518,0.044,0.07,0.673,0.42,0.0,0.075,0.459,0.577,0.8,0.507,0.543,0.1,0.7,0.0,1.0
0.119,0.077,0.001,0.715,0.015,0.101,0.711,0.63,0.553,0.77,0.77,0.45,0.574,0.573,0.4,0.527,0.344,0.9,0.48,0.889,1.0
0.115,0.978,0.019,0.346,0.054,0.13,0.589,0.67,0.02,0.98,0.98,0.34,0.55,0.495,0.5,0.046,0.477,0.5,0.36,0.222,1.0
0.756,0.457,0.01,0.17,0.008,0.444,0.256,0.845,0.98,0.05,0.008,0.615,0.279,0.386,0.9,0.25,0.767,0.3,0.96,0.556,1.0
0.55,0.108,0.019,0.045,0.069,0.71,0.522,0.875,0.853,0.23,0.008,0.885,0.829,0.423,0.3,0.674,0.615,0.1,0.34,0.889,1.0
0.717,0.13,0.001,0.117,0.023,0.813,0.5,0.805,0.3,0.24,0.002,0.745,0.947,0.577,0.4,0.387,0.549,1.0,0.66,0.333,1.0
0.768,0.707,0.01,0.757,0.062,0.395,0.022,0.095,0.347,0.74,0.74,0.31,0.337,0.611,0.4,0.928,0.832,0.0,0.84,0.222,0.0
0.919,0.67,0.029,0.611,0.062,0.507,0.989,0.19,0.013,0.76,0.76,0.605,0.377,0.468,0.8,0.492,0.412,0.7,0.52,1.0,1.0
0.446,0.413,0.019,0.437,0.015,0.563,0.4,0.17,0.093,0.06,0.004,0.43,0.723,0.365,0.0,0.574,0.469,0.1,0.04,0.667,1.0
0.107,0.749,0.019,0.46,0.008,0.757,0.989,0.465,0.133,0.51,0.51,0.525,0.297,0.505,0.2,0.491,0.079,0.4,0.86,0.556,1.0
0.915,0.293,0.038,0.63,0.038,0.248,0.789,0.35,0.213,0.65,0.65,0.84,0.123,0.396,0.3,0.31,0.18,0.9,0.62,0.111,1.0
0.495,0.357,0.01,0.115,0.031,0.274,0.289,0.775,0.727,0.72,0.72,0.685,0.697,0.495,0.1,0.566,0.926,0.9,0.74,0.333,1.0
0.61,0.298,0.048,0.453,0.023,0.55,0.033,0.555,0.24,0.27,0.006,0.945,0.819,0.532,1.0,0.063,0.977,0.1,0.42,0.556,1.0
0.6,0.465,0.01,0.794,0.038,0.9,0.456,0.985,0.407,0.52,0.52,0.475,0.672,0.594,0.5,0.813,0.369,0.1,0.24,0.222,0.0
0.564,0.957,0.019,0.338,0.054,0.321,0.667,0.21,0.753,0.05,0.004,0.265,0.62,0.468,0.6,0.92,0.161,0.8,0.24,0.444,0.0
0.273,0.637,0.038,0.298,0.046,0.205,0.033,0.67,0.173,0.07,0.008,0.565,0.076,0.478,1.0,0.825,0.342,0.9,0.22,0.444,0.0
0.541,0.652,0.019,0.36,0.038,0.227,0.822,0.09,0.087,0.79,0.79,0.66,0.474,0.573,0.6,0.433,0.795,0.0,0.34,0.667,1.0
0.598,0.276,0.001,0.761,0.031,0.392,0.322,0.64,0.213,0.53,0.53,0.875,0.04,0.372,0.7,0.139,0.817,0.1,0.64,0.222,1.0
0.388,0.559,0.001,0.593,0.062,0.508,0.789,0.57,0.76,0.45,0.004,0.225,0.435,0.457,1.0,0.77,0.879,0.2,0.84,0.444,0.0
0.465,0.475,0.019,0.579,0.069,0.607,0.011,0.355,0.347,0.39,0.007,0.73,0.389,0.536,0.3,0.458,0.365,0.7,0.82,0.111,1.0
0.485,0.935,0.019,0.658,0.031,0.386,0.856,0.995,0.147,0.25,0.008,0.425,0.166,0.642,0.8,0.251,0.294,0.9,0.18,0.333,1.0
0.529,0.631,0.019,0.014,0.031,0.31,0.344,0.605,0.807,0.83,0.83,0.525,0.415,0.543,0.3,0.605,0.765,0.4,0.68,0.556,0.0
0.222,0.497,0.038,0.623,0.054,0.698,0.756,0.65,0.333,0.1,0.008,0.18,0.105,0.577,0.8,0.905,0.108,0.1,0.38,0.222,0.0
0.653,0.315,0.038,0.259,0.062,0.871,0.244,0.475,0.187,0.53,0.53,0.91,0.938,0.413,0.9,0.054,0.035,0.8,0.16,1.0,1.0
0.085,0.948,0.01,0.178,0.038,0.409,0.722,0.005,0.287,0.27,0.007,0.165,0.295,0.437,0.1,0.878,0.643,0.1,0.12,0.556,0.0
0.236,0.87,0.01,0.152,0.062,0.015,0.2,0.72,0.2,0.18,0.004,0.81,0.116,0.464,0.8,0.638,0.677,0.1,0.64,0.0,1.0
0.168,0.35,0.048,0.034,0.046,0.866,0.989,0.26,0.213,0.31,0.002,0.55,0.179,0.611,0.0,0.104,0.519,0.1,0.2,0.222,1.0
0.919,0.755,0.038,0.601,0.054,0.757,0.456,0.72,0.387,0.96,0.96,0.955,0.504,0.648,0.8,0.801,0.817,0.2,0.42,0.889,0.0
0.099,0.314,0.029,0.605,0.031,0.411,0.944,0.505,0.453,0.11,0.006,0.635,0.76,0.464,0.6,0.365,0.28,0.0,0.24,0.111,1.0
0.941,0.525,0.019,0.644,0.015,0.147,0.578,0.82,0.573,0.64,0.64,0.16,0.508,0.594,0.6,0.902,0.809,0.3,0.7,0.667,0.0
0.374,0.518,0.048,0.279,0.008,0.694,0.367,0.11,0.007,0.76,0.76,0.26,0.752,0.362,0.9,0.364,0.593,0.1,0.52,0.556,1.0
0.743,0.594,0.038,0.379,0.046,0.129,0.422,0.11,0.727,0.57,0.57,0.505,0.521,0.355,0.1,0.095,0.135,0.4,0.06,0.111,1.0
0.657,0.733,0.029,0.698,0.062,0.703,0.256,0.38,0.773,0.79,0.79,0.245,0.851,0.478,0.6,0.984,0.537,0.7,0.16,0.0,0.0
0.347,0.462,0.01,0.275,0.008,0.022,0.567,0.75,0.46,0.82,0.82,0.265,0.054,0.423,0.5,0.144,0.874,0.5,0.3,0.778,1.0
0.186,0.098,0.01,0.717,0.038,0.213,0.167,0.995,0.86,0.86,0.86,0.235,0.379,0.512,0.2,0.771,0.494,0.4,0.28,0.222,1.0
0.527,0.766,0.01,0.423,0.038,0.382,0.878,0.785,0.44,0.58,0.58,0.355,0.682,0.539,0.8,0.516,0.416,0.5,0.64,0.667,0.0
0.547,0.141,0.019,0.405,0.038,0.49,0.211,0.615,0.573,0.87,0.87,0.095,0.815,0.403,0.7,0.575,0.203,0.1,0.42,0.889,1.0
0.085,0.456,0.029,0.664,0.008,0.274,0.189,0.125,0.833,0.7,0.7,0.645,0.793,0.618,0.3,0.181,0.677,0.3,0.22,0.778,1.0
0.521,0.641,0.019,0.352,0.054,0.218,0.767,0.435,0.46,0.55,0.55,0.765,0.298,0.447,0.7,0.651,0.519,0.1,0.76,0.889,1.0
0.564,0.772,0.029,0.453,0.031,0.053,0.022,0.885,0.413,0.14,0.006,0.685,0.749,0.406,0.4,0.464,0.951,0.1,0.9,0.556,0.0
0.008,0.443,0.019,0.494,0.008,0.553,0.367,0.365,0.453,0.45,0.006,0.265,0.893,0.59,0.8,0.973,0.826,1.0,0.12,0.444,0.0
0.174,0.374,0.038,0.186,0.069,0.529,0.944,0.55,0.987,0.75,0.75,0.735,0.416,0.471,0.7,0.179,0.15,0.2,0.54,0.222,1.0
0.6,0.31,0.048,0.132,0.046,0.72,0.678,0.385,0.507,0.51,0.51,0.43,0.52,0.399,0.0,0.526,0.796,0.2,0.34,0.889,1.0
0.44,0.995,0.029,0.579,0.046,0.523,0.8,0.07,0.947,1.0,1.0,0.41,0.57,0.498,0.6,0.551,0.621,0.0,0.32,0.556,0.0
0.972,0.605,0.038,0.026,0.038,0.601,0.933,0.31,0.647,0.23,0.006,0.6,0.449,0.444,0.3,0.114,0.722,0.1,0.06,0.778,1.0
0.228,0.673,0.019,0.553,0.038,0.214,0.9,0.18,0.487,0.47,0.0,0.015,0.707,0.464,0.5,0.177,0.561,0.3,0.76,0.222,1.0
0.95,0.401,0.048,0.648,0.046,0.849,0.511,0.715,0.993,0.58,0.58,0.8,0.304,0.427,0.0,0.55,0.844,0.0,0.84,0.0,1.0
0.093,0.897,0.019,0.059,0.046,0.848,0.167,0.825,0.053,0.51,0.51,0.125,0.692,0.522,0.2,0.505,0.552,0.8,0.68,0.667,0.0
0.321,0.221,0.01,0.296,0.008,0.354,0.122,0.025,0.807,0.33,0.001,0.075,0.087,0.348,0.1,0.058,0.786,0.9,0.94,0.111,1.0
0.531,0.324,0.019,0.267,0.054,0.333,0.767,0.08,0.58,0.67,0.67,0.9,0.566,0.563,0.3,0.474,0.911,0.7,0.24,0.111,1.0
0.018,0.412,0.038,0.731,0.008,0.412,0.522,0.065,0.86,0.82,0.82,0.36,0.643,0.468,0.6,0.541,0.181,0.2,0.62,0.444,1.0
0.923,0.012,0.038,0.032,0.008,0.778,0.1,0.86,0.593,0.09,0.005,0.92,0.514,0.502,0.1,0.429,0.658,0.0,0.2,0.889,1.0
0.543,0.498,0.019,0.777,0.038,0.918,0.278,0.325,0.487,0.53,0.53,0.66,0.208,0.389,0.7,0.566,0.275,0.5,0.1,0.556,1.0
0.354,0.557,0.029,0.478,0.008,0.369,0.467,0.835,0.807,0.65,0.65,0.21,0.521,0.515,0.5,0.764,0.031,0.6,0.24,0.556,0.0
0.495,0.345,0.029,0.304,0.038,0.358,0.578,0.945,0.787,0.75,0.75,0.46,0.357,0.567,0.2,0.756,0.426,0.7,0.58,0.778,0.0
0.697,0.072,0.038,0.498,0.054,0.153,0.356,0.47,0.173,0.28,0.009,0.115,0.544,0.468,0.3,0.382,0.529,0.6,0.06,0.444,1.0
0.822,0.64,0.001,0.403,0.046,0.51,0.933,0.425,0.673,0.19,0.008,0.225,0.105,0.416,0.5,0.848,0.518,0.1,0.04,0.111,0.0
0.749,0.643,0.048,0.154,0.046,0.76,0.778,0.145,0.333,0.7,0.7,0.68,0.947,0.679,0.1,0.589,0.387,0.2,0.76,0.222,0.0
0.36,0.31,0.01,0.352,0.069,0.073,0.333,0.85,0.193,0.78,0.78,0.925,0.643,0.567,0.6,0.554,0.323,0.3,0.8,0.444,1.0
0.576,0.176,0.019,0.538,0.062,0.584,0.367,0.36,0.28,0.75,0.75,0.35,0.621,0.43,0.5,0.356,0.437,0.0,0.76,0.333,1.0
0.851,0.549,0.029,0.587,0.062,0.592,0.322,0.75,0.167,0.02,0.0,0.415,0.314,0.652,0.9,0.834,0.174,0.2,0.22,0.0,0.0
0.642,0.07,0.001,0.324,0.015,0.046,0.267,0.76,0.507,0.57,0.57,0.775,0.398,0.652,0.2,0.976,0.38,1.0,0.4,0.889,0.0
0.699,0.184,0.038,0.474,0.015,0.476,0.778,0.755,0.593,0.55,0.55,0.82,0.428,0.509,0.1,0.619,0.031,0.8,0.02,1.0,1.0
0.602,0.748,0.048,0.379,0.008,0.29,0.511,0.12,0.44,0.09,0.008,0.85,0.815,0.515,0.6,0.242,0.085,0.2,0.18,0.222,1.0
0.438,0.996,0.019,0.283,0.062,0.427,0.522,0.58,0.707,0.82,0.82,0.6,0.334,0.536,0.1,0.071,0.989,0.4,1.0,0.444,1.0
0.489,0.845,0.038,0.204,0.062,0.32,0.044,0.435,0.107,0.41,0.003,0.215,0.344,0.485,0.8,0.768,0.75,0.2,0.8,0.556,0.0
0.38,0.662,0.029,0.225,0.062,0.215,0.178,0.01,0.027,0.76,0.76,0.99,0.539,0.454,0.6,0.255,0.601,0.6,0.82,0.222,1.0
0.242,0.777,0.038,0.739,0.008,0.51,0.7,0.97,0.847,0.08,0.008,0.97,0.672,0.659,0.5,0.397,0.601,0.8,0.44,0.778,0.0
0.42,0.791,0.001,0.115,0.023,0.495,0.911,0.785,0.287,0.04,0.003,0.445,0.745,0.672,0.5,0.015,0.64,0.3,0.4,0.333,1.0
0.83,0.784,0.048,0.334,0.046,0.817,0.522,0.975,0.92,0.46,0.003,0.955,0.921,0.352,0.9,0.49,0.3,0.5,0.7,0.222,0.0
0.834,0.599,0.01,0.798,0.062,0.26,0.033,0.7,0.333,0.28,0.005,0.22,0.137,0.614,0.1,0.017,0.989,0.4,0.56,0.333,1.0
0.806,0.349,0.01,0.666,0.023,0.047,0.433,0.275,0.847,0.61,0.61,0.435,0.826,0.375,0.9,0.884,0.317,0.9,0.74,0.556,0.0
0.507,0.048,0.038,0.698,0.023,0.394,0.033,0.695,0.747,0.1,0.001,0.54,0.472,0.539,0.9,0.702,0.549,0.2,0.22,0.778,1.0
0.703,0.873,0.029,0.393,0.038,0.001,0.378,0.185,0.86,0.62,0.62,0.61,0.626,0.358,0.7,0.83,0.342,0.4,0.06,0.889,0.0
0.78,0.724,0.038,0.587,0.046,0.651,0.089,0.175,0.953,0.71,0.71,0.305,0.897,0.355,0.4,0.115,0.363,0.5,0.92,0.333,1.0
0.242,0.048,0.01,0.648,0.008,0.659,0.5,0.725,0.347,0.18,0.003,0.44,0.043,0.515,0.7,0.825,0.825,0.1,0.68,0.111,1.0
0.158,0.457,0.029,0.64,0.015,0.103,0.222,0.53,0.353,0.96,0.96,0.79,0.583,0.56,0.2,0.596,0.428,0.3,0.3,0.333,1.0
0.655,0.654,0.038,0.275,0.015,0.181,0.5,0.25,0.493,0.5,0.5,0.37,0.94,0.481,0.8,0.14,0.403,0.5,0.64,0.444,1.0
0.513,0.921,0.01,0.364,0.023,0.316,0.889,0.135,0.62,0.5,0.5,0.35,0.803,0.491,0.2,0.191,0.521,0.6,0.22,0.222,1.0
0.772,0.33,0.001,0.324,0.062,0.091,0.378,0.005,0.007,0.5,0.5,0.74,0.521,0.666,0.7,0.799,0.154,0.6,0.02,0.222,1.0
0.624,0.575,0.01,0.532,0.023,0.899,0.444,0.62,0.613,0.42,0.006,0.86,0.309,0.362,0.4,0.629,0.738,0.8,0.42,0.111,0.0
0.036,0.392,0.038,0.174,0.038,0.402,0.889,0.77,0.213,0.33,0.006,0.205,0.937,0.464,0.9,0.962,0.907,0.6,0.56,0.889,0.0
0.764,0.371,0.01,0.737,0.023,0.441,0.156,0.52,0.927,0.07,0.006,0.88,0.174,0.392,0.8,0.895,0.804,0.3,0.86,0.556,0.0
0.248,0.192,0.001,0.176,0.046,0.439,0.167,0.165,0.887,0.59,0.59,0.68,0.558,0.655,0.8,0.849,0.549,0.1,0.78,0.111,0.0
0.036,0.139,0.038,0.115,0.046,0.195,0.3,0.3,0.047,0.79,0.79,0.82,0.033,0.389,1.0,0.887,0.431,0.6,0.88,0.444,1.0
0.453,0.539,0.01,0.059,0.046,0.584,0.211,0.82,0.407,1.0,1.0,0.19,0.568,0.509,0.6,0.754,0.542,0.2,0.56,0.889,0.0
0.014,0.503,0.01,0.034,0.015,0.715,0.0,0.405,0.16,0.15,0.005,0.025,0.846,0.539,0.2,0.311,0.209,0.4,0.0,0.333,1.0
0.537,0.922,0.01,0.638,0.023,0.123,0.144,0.845,0.653,0.28,0.004,0.905,0.299,0.611,0.8,0.294,0.332,0.7,0.8,0.111,1.0
0.828,0.981,0.048,0.209,0.023,0.058,0.856,0.755,0.24,0.78,0.78,0.795,0.68,0.543,0.8,0.771,0.776,0.7,0.24,0.778,0.0
0.859,0.047,0.019,0.368,0.038,0.455,0.889,0.995,0.32,0.33,0.001,0.25,0.902,0.437,0.0,0.379,0.834,0.9,0.32,0.0,1.0
0.182,0.315,0.038,0.281,0.031,0.874,0.211,0.61,0.707,0.27,0.008,0.515,0.187,0.485,0.7,0.338,0.544,0.1,0.82,0.778,1.0
0.473,0.487,0.019,0.231,0.038,0.113,0.256,0.65,0.247,0.98,0.98,0.78,0.512,0.372,0.8,0.354,0.406,0.5,0.88,0.0,1.0
0.178,0.186,0.048,0.725,0.008,0.57,0.167,0.69,0.927,0.87,0.87,0.235,0.14,0.413,0.1,0.419,0.92,0.9,0.88,0.889,1.0
0.176,0.779,0.029,0.678,0.062,0.092,0.289,0.25,0.567,0.44,0.004,0.17,0.193,0.41,0.7,0.274,0.404,0.9,0.06,0.222,1.0
0.475,0.876,0.029,0.723,0.015,0.609,0.333,0.39,0.06,0.83,0.83,0.69,0.529,0.502,0.9,0.813,0.579,0.9,0.36,0.556,0.0
0.972,0.693,0.019,0.545,0.008,0.282,0.211,0.085,0.393,0.07,0.008,0.795,0.92,0.515,0.8,0.292,0.812,0.1,0.62,1.0,1.0
0.667,0.618,0.048,0.478,0.031,0.157,0.756,0.725,0.933,0.28,0.003,0.51,0.427,0.505,0.2,0.322,0.164,0.1,0.36,0.444,1.0
0.61,0.563,0.029,0.366,0.023,0.006,0.033,0.02,0.773,0.51,0.51,0.22,0.261,0.502,0.6,0.86,0.466,0.4,0.28,0.889,0.0
0.731,0.419,0.048,0.407,0.062,0.749,0.889,0.9,0.973,0.31,0.004,0.565,0.494,0.386,0.6,0.237,0.494,0.9,0.88,0.778,1.0
0.933,0.785,0.019,0.33,0.023,0.778,0.478,0.915,0.687,0.48,0.009,0.685,0.512,0.573,0.2,0.327,0.135,0.6,0.54,0.222,1.0
0.665,0.647,0.029,0.113,0.015,0.539,0.389,0.685,0.433,0.09,0.006,0.17,0.554,0.556,0.8,0.734,0.845,0.6,0.84,0.222,0.0
0.883,0.941,0.019,0.796,0.031,0.588,0.422,0.26,0.147,0.69,0.69,0.32,0.635,0.468,0.4,0.793,0.83,0.3,0.28,0.778,0.0
0.891,0.485,0.019,0.348,0.069,0.416,0.656,0.725,0.187,0.52,0.52,0.985,0.406,0.495,0.6,0.266,0.559,0.6,0.04,0.889,1.0
0.113,0.157,0.038,0.265,0.046,0.487,0.544,0.375,0.293,0.68,0.68,0.785,0.78,0.358,0.2,0.895,0.929,0.4,0.6,0.444,0.0
0.533,0.136,0.019,0.057,0.038,0.093,0.367,0.035,0.467,0.01,0.0,0.04,0.34,0.577,0.6,0.336,0.982,0.6,0.26,0.889,1.0
0.851,0.071,0.01,0.626,0.031,0.468,0.311,0.83,0.527,0.73,0.73,0.295,0.244,0.41,0.6,0.748,0.507,0.6,0.48,0.556,1.0
